名称,名称(英語),設置場所,住所,緯度,経度,AEDのタイプ,パッドのタイプ,シリアルナンバー,モデルナンバー,AEDの有効期限,画像URL
鮫浜小学校,"",鮫浜小学校,東京都品川区東大井2-10-14,35.601716,139.740669,"","","","","",""
東大井区民集会所,"",東大井区民集会所,東京都品川区東大井2-16-12,35.600719,139.741697,"","","","","",""
浜川中学校,"",浜川中学校,東京都品川区東大井3-18-34,35.6002,139.737944,"","","","","",""
立会小学校,"",立会小学校,東京都品川区東大井4-15-9,35.604469,139.740191,"","","","","",""
品川保育園,"",品川保育園,東京都品川区東大井5-8-21,35.607638,139.737902,"","","","","",""
きゅりあん①,"",きゅりあん,東京都品川区東大井5-18-1,35.606166,139.735861,"","","","","",""
きゅりあん②,"",きゅりあん,東京都品川区東大井5-18-1,35.606166,139.735861,"","","","","",""
きゅりあん③,"",きゅりあん,東京都品川区東大井5-18-1,35.606166,139.735861,"","","","","",""
関ヶ原シルバーセンター,"",関ヶ原シルバーセンター,東京都品川区東大井6-11-11,35.601936,139.736483,"","","","","",""
大井保育園,"",大井保育園,東京都品川区東大井6-14-16,35.600927,139.735208,"","","","","",""
日野学園①,"",日野学園,東京都品川区東五反田2-11-1,35.624505,139.728169,"","","","","",""
日野学園②,"",日野学園,東京都品川区東五反田2-11-1,35.624505,139.728169,"","","","","",""
総合体育館①,"",総合体育館,東京都品川区東五反田2-11-2,35.62418,139.728264,"","","","","",""
総合体育館②,"",総合体育館,東京都品川区東五反田2-11-2,35.62418,139.728264,"","","","","",""
総合体育館③,"",総合体育館,東京都品川区東五反田2-11-2,35.62418,139.728264,"","","","","",""
総合体育館④,"",総合体育館,東京都品川区東五反田2-11-2,35.62418,139.728264,"","","","","",""
五反田シルバーセンター,"",五反田シルバーセンター,東京都品川区東五反田2-15-6,35.621933,139.729441,"","","","","",""
東五反田児童センター,"",東五反田児童センター,東京都品川区東五反田5-24-1,35.628012,139.723389,"","","","","",""
八ツ山保育園,"",八ツ山保育園,東京都品川区東品川1-2-15,35.622986,139.743557,"","","","","",""
台場小学校,"",台場小学校,東京都品川区東品川1-8-30,35.621383,139.743185,"","","","","",""
台場保育園,"",台場保育園,東京都品川区東品川1-8-30,35.621383,139.743185,"","","","","",""
東品川児童センター,"",東品川児童センター,東京都品川区東品川1-34-9,35.619128,139.74604,"","","","","",""
天王洲公園野球場管理詰所,"",天王洲公園野球場管理詰所,東京都品川区東品川2-6-23,35.619442,139.750193,"","","","","",""
東品川在宅サービスセンター,"",東品川在宅サービスセンター,東京都品川区東品川3-1-8,35.617256,139.74684,"","","","","",""
城南第二小学校,"",城南第二小学校,東京都品川区東品川3-4-5,35.615579,139.74599,"","","","","",""
東品川海上公園（屋上公園）管理事務所,"",東品川海上公園（屋上公園）管理事務所,東京都品川区東品川3-9-21,35.620397,139.745004,"","","","","",""
東品川公園管理詰所,"",東品川公園管理詰所,東京都品川区東品川3-14-9,35.614132,139.746085,"","","","","",""
東海中学校,"",東海中学校,東京都品川区東品川3-30-15,35.612621,139.748971,"","","","","",""
東品川文化センター,"",東品川文化センター,東京都品川区東品川3-32-10,35.614193,139.750748,"","","","","",""
東品川シルバーセンター,"",東品川シルバーセンター,東京都品川区東品川3-32-10,35.614193,139.750748,"","","","","",""
品川南ふ頭公園管理事務所,"",品川南ふ頭公園管理事務所,東京都品川区東品川5-8-4,35.622006,139.754864,"","","","","",""
荏原第三地域センター,"",荏原第三地域センター,東京都品川区平塚1-13-18,35.613392,139.715407,"","","","","",""
平塚児童センター,"",平塚児童センター,東京都品川区平塚2-2-3,35.618791,139.717409,"","","","","",""
京陽小学校,"",京陽小学校,東京都品川区平塚2-19-20,35.615116,139.713079,"","","","","",""
荏原平塚学園①,"",荏原平塚学園,東京都品川区平塚3-16-26,35.615325,139.710101,"","","","","",""
荏原平塚学園②,"",荏原平塚学園,東京都品川区平塚3-16-26,35.615325,139.710101,"","","","","",""
生活安全パトロールカー①,"",品川区役所駐車場(生活安全パトロールカー),東京都品川区広町2-1-36,35.608837,139.730242,"","","","","",""
生活安全パトロールカー②,"",品川区役所駐車場(生活安全パトロールカー),東京都品川区広町2-1-36,35.608837,139.730242,"","","","","",""
生活安全パトロールカー③,"",品川区役所駐車場(生活安全パトロールカー),東京都品川区広町2-1-36,35.608837,139.730242,"","","","","",""
生活安全パトロールカー④,"",品川区役所駐車場(生活安全パトロールカー),東京都品川区広町2-1-36,35.608837,139.730242,"","","","","",""
生活安全パトロールカー⑤,"",品川区役所駐車場(生活安全パトロールカー),東京都品川区広町2-1-36,35.608837,139.730242,"","","","","",""
第三庁舎　３Ｆ,"",品川区役所第三庁舎　3Ｆ,東京都品川区広町2-1-36,35.608837,139.730242,"","","","","",""
本庁舎　３Ｆ,"",品川区役所本庁舎　3Ｆ,東京都品川区広町2-1-36,35.608837,139.730242,"","","","","",""
貸出用①（地域活動課）,"",品川区役所第二庁舎　6F(地域活動課),東京都品川区広町2-1-36,35.608837,139.730242,"","","","","",""
貸出用②（地域活動課）,"",品川区役所第二庁舎　6F(地域活動課),東京都品川区広町2-1-36,35.608837,139.730242,"","","","","",""
貸出用①（健康課）,"",品川区役所本庁舎　7F（健康課）,東京都品川区広町2-1-36,35.608837,139.730242,"","","","","",""
貸出用②（健康課）,"",品川区役所本庁舎　7F（健康課）,東京都品川区広町2-1-36,35.608837,139.730242,"","","","","",""
貸出用③（健康課）,"",品川区役所本庁舎　7F（健康課）,東京都品川区広町2-1-36,35.608837,139.730242,"","","","","",""
第二庁舎　３Ｆ,"",品川区役所第二庁舎　3Ｆ,東京都品川区広町2-1-36,35.608837,139.730242,"","","","","",""
本庁舎　戸籍住民課入口,"",品川区役所本庁舎　3F戸籍住民課入口,東京都品川区広町2-1-36,35.608837,139.730242,"","","","","",""
リサイクルショップリボン大井町店,"",リサイクルショップリボン大井町店,東京都品川区広町2-1-36,35.608837,139.730242,"","","","","",""
豊葉の杜学園①,"",豊葉の杜学園,東京都品川区二葉1-3-40,35.6082,139.725727,"","","","","",""
豊葉の杜学園②,"",豊葉の杜学園,東京都品川区二葉1-3-40,35.6082,139.725727,"","","","","",""
豊葉の杜学園③,"",豊葉の杜学園,東京都品川区二葉1-3-40,35.6082,139.725727,"","","","","",""
二葉幼稚園,"",二葉幼稚園,東京都品川区二葉1-3-40,35.607348,139.72552,"","","","","",""
荏原第五地域センター,"",荏原第五地域センター,東京都品川区二葉1-1-2,35.6082,139.725727,"","","","","",""
二葉図書館,"",二葉図書館,東京都品川区二葉1-4-25,35.608023,139.726761,"","","","","",""
上神明小学校,"",上神明小学校,東京都品川区二葉4-4-10,35.602921,139.715751,"","","","","",""
浜川幼稚園,"",浜川幼稚園,東京都品川区南大井4-3-14,35.597783,139.736584,"","","","","",""
水神児童センター,"",水神児童センター,東京都品川区南大井5-13-19,35.595456,139.733934,"","","","","",""
水神保育園,"",水神保育園,東京都品川区南大井6-2-15,35.592789,139.732892,"","","","","",""
南大井文化センター,"",南大井文化センター,東京都品川区南大井1-12-6,35.596306,139.737595,"","","","","",""
鈴ケ森中学校,"",鈴ケ森中学校,東京都品川区南大井2-3-14,35.593149,139.73778,"","","","","",""
月見橋在宅サービスセンター,"",月見橋在宅サービスセンター,東京都品川区南大井3-7-10,35.591495,139.734604,"","","","","",""
南大井図書館,"",南大井図書館,東京都品川区南大井3-7-13,35.591828,139.734301,"","","","","",""
南大井シルバーセンター,"",南大井シルバーセンター,東京都品川区南大井3-7-13,35.591828,139.734301,"","","","","",""
鈴ケ森小学校,"",鈴ケ森小学校,東京都品川区南大井4-16-2,35.594478,139.735242,"","","","","",""
浜川小学校,"",浜川小学校,東京都品川区南大井4-3-27,35.59828,139.736203,"","","","","",""
南大井在宅サービスセンター,"",南大井在宅サービスセンター,東京都品川区南大井5-19-1,35.594658,139.733978,"","","","","",""
城南小学校,"",城南小学校,東京都品川区南品川2-8-21,35.613329,139.742746,"","","","","",""
城南幼稚園,"",城南幼稚園,東京都品川区南品川2-8-21,35.613329,139.742746,"","","","","",""
高齢者住宅（パレスガル）,"",高齢者住宅（パレスガル）,東京都品川区南品川4-5-4,35.613976,139.738613,"","","","","",""
南品川児童センター,"",南品川児童センター,東京都品川区南品川4-5-28,35.613489,139.738738,"","","","","",""
南品川シルバーセンター,"",南品川シルバーセンター,東京都品川区南品川5-10-3,35.610215,139.739836,"","","","","",""
品川第二地域センター,"",品川第二地域センター,東京都品川区南品川5-3-20,35.611373,139.741288,"","","","","",""
浅間台小学校,"",浅間台小学校,東京都品川区南品川6-8-8,35.611484,139.736494,"","","","","",""
八潮北公園管理詰所,"",八潮北公園管理詰所,東京都品川区八潮1-3-1,35.612485,139.753759,"","","","","",""
品川区資源化センター,"",品川区資源化センター,東京都品川区八潮1-4-1,35.607941,139.753221,"","","","","",""
八潮北保育園,"",八潮北保育園,東京都品川区八潮5-1-3,35.604769,139.753232,"","","","","",""
ピッコロ（重症心身障害者通所事業）,"",ピッコロ（重症心身障害者通所事業）,東京都品川区八潮5-3-8,35.603205,139.751941,"","","","","",""
八潮西保育園,"",八潮西保育園,東京都品川区八潮5-4-16,35.601633,139.751313,"","","","","",""
八潮わかば幼稚園,"",八潮わかば幼稚園,東京都品川区八潮5-6-32,35.596631,139.749911,"","","","","",""
八潮南保育園,"",八潮南保育園,東京都品川区八潮5-8-41,35.596614,139.752127,"","","","","",""
マイスクール八潮,"",マイスクール八潮,東京都品川区八潮5-2-1   ,35.603872,139.753107,"","","","","",""
八潮学園①,"",八潮学園,東京都品川区八潮5-11-2,35.601392,139.75253,"","","","","",""
八潮学園②,"",八潮学園,東京都品川区八潮5-11-2,35.601392,139.75253,"","","","","",""
八潮学園③,"",八潮学園,東京都品川区八潮5-11-2,35.601392,139.75253,"","","","","",""
八潮学園④,"",八潮学園,東京都品川区八潮5-11-2,35.601392,139.75253,"","","","","",""
八潮図書館,"",八潮図書館,東京都品川区八潮5-10-27,35.600153,139.751255,"","","","","",""
八潮地域センター,"",八潮地域センター,東京都品川区八潮5-10-27,35.600153,139.751255,"","","","","",""
八潮在宅サービスセンター,"",八潮在宅サービスセンター,東京都品川区八潮5-10-27,35.600153,139.751255,"","","","","",""
ゆたか図書館,"",ゆたか図書館,東京都品川区豊町1-17-7,35.611592,139.722362,"","","","","",""
ゆたか児童センター,"",ゆたか児童センター,東京都品川区豊町1-18-15,35.611534,139.722706,"","","","","",""
品川区立戸越体育館,"",品川区立戸越体育館,東京都品川区豊町2-1-17,35.61084,139.72059,"","","","","",""
戸越小学校,"",戸越小学校,東京都品川区豊町2-1-20,35.610762,139.720973,"","","","","",""
ゆたかシルバーセンター,"",ゆたかシルバーセンター,東京都品川区豊町3-2-15,35.608337,139.719606,"","","","","",""
南ゆたか児童センター,"",南ゆたか児童センター,東京都品川区豊町4-17-21,35.606479,139.720915,"","","","","",""
品川荘,"",品川荘,静岡県伊東市広野1-3-17,34.962798,139.091457,"","","","","",""
光林荘,"",光林荘,栃木県日光市細尾町６７６−１,36.730111,139.555327,"","","","","",""
